Customer Name,Account Number,City,State,Order Date,Invoice #,Type,PO Number,Sales Amount,Commission Rate,Commission,Rep (per note - verify)
MORRISTOWN PHARMACY,C559322,MORRISTOWN,TN,04/25/2025,INV153630,I,042325PHN,280.0,10,28.0,Angelo Audia
MORRISTOWN PHARMACY,C559322,MORRISTOWN,TN,04/29/2025,INV154606,I,042325PHN,26.0,10,2.6,Angelo Audia
PATIENT AIDS,C562238,WILDER,KY,04/24/2025,INV141935,I,132930,11.85,10,1.19,Angelo Audia
PATIENT AIDS,C562238,WILDER,KY,04/24/2025,INV145497,I,133762,14.85,10,1.49,Angelo Audia
PATIENT AIDS,C562238,WILDER,KY,04/24/2025,INV146954,I,134193,150.05,10,15.02,Angelo Audia
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,04/18/2025,INV151563,I,TK04102025,190.0,10,19.01,Greg Campbell
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,04/24/2025,INV153273,I,TK04102025,3.95,10,0.4,Greg Campbell
BOATWRIGHT DRUGS,C597572,MILLINGTON,TN,04/07/2025,INV145847,I,3/21/25fax,297.0,10,29.73,Angelo Audia
BOATWRIGHT DRUGS,C597572,MILLINGTON,TN,04/28/2025,INV149069,I,3/21/25fax,90.9,10,9.1,Angelo Audia
EMORY DECATUR HOSPITAL,C649184,DECATUR,GA,04/01/2025,INV137235,I,50007612,171.5,10,17.2,Greg Campbell
EMORY DECATUR HOSPITAL,C649184,DECATUR,GA,04/01/2025,INV138008,I,50007612,7.9,10,0.79,Greg Campbell
TUXEDO PHARMACY & GIFTS,C667280,ATLANTA,GA,04/22/2025,INV152633,I,reorder,950.0,10,95.09,Greg Campbell
NORTHSIDE PHARMACY & MEDICAL SUPPLY,C684326,CANTON,GA,04/01/2025,INV147596,I,032825PHONE,156.85,10,15.71,
MEDCARE MEDICAL EQUIPMENT,C707264,PADUCAH,KY,04/23/2025,INV152837,I,041825PHONE,116.8,10,11.68,Lori Hunt
WYNN'S PHARMACY,C727844,GRIFFIN,GA,04/10/2025,INV149874,I,,27.7,10,2.77,Greg Campbell
MD SERVICES TN,C828839,Paris,TN,04/04/2025,INV117865,I,111524,98.95,10,9.9,Lori Hunt
JEFF'S PRESCRIPTION SHOP,C416124,ELIZABETHTOWN,KY,05/08/2025,INV156924,I,050725Sarah,83.85,10,8.39,Lori Hunt
JEFF'S PRESCRIPTION SHOP,C416124,ELIZABETHTOWN,KY,05/30/2025,INV162336,I,052925SARA,90.5,10,9.07,Lori Hunt
MORRISTOWN PHARMACY,C559322,MORRISTOWN,TN,05/09/2025,INV157052,I,042325PHN,168.0,10,16.8,Angelo Audia
PATIENT AIDS,C562238,WILDER,KY,05/12/2025,INV148791,I,134193,6.5,10,0.65,Angelo Audia
PATIENT AIDS,C562238,WILDER,KY,05/12/2025,INV148792,I,134689,16.9,10,1.69,Angelo Audia
PATIENT AIDS,C562238,WILDER,KY,05/12/2025,INV148793,I,134676,22.5,10,2.25,Angelo Audia
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,05/19/2025,INV155491,I,TK05012025,108.3,10,10.84,Greg Campbell
ADVANCED HOME MEDICAL,C618704,HOPKINSVILLE,KY,05/22/2025,INV160547,I,052225FRANK,256.85,10,25.73,Lori Hunt
ADVANCED HOME MEDICAL,C618704,HOPKINSVILLE,KY,05/30/2025,INV162149,I,052225FRANK,17.95,10,1.8,Lori Hunt
BUCKEYE HOME MEDICAL,C623750,Huntsville,TN,05/07/2025,INV150790,I,04092506,91.8,10,9.18,Greg Campbell
EMORY DECATUR HOSPITAL,C649184,DECATUR,GA,05/29/2025,INV154933,I,042825BS,124.2,10,12.45,Greg Campbell
JEFF'S PRESCRIPTION SHOP,C416124,ELIZABETHTOWN,KY,06/18/2025,INV167263,I,061725STEPH,131.0,10,13.13,Lori Hunt
JEFF'S PRESCRIPTION SHOP,C416124,ELIZABETHTOWN,KY,06/19/2025,INV167523,I,052925SARA,18.9,10,1.9,Lori Hunt
JEFF'S PRESCRIPTION SHOP,C416124,ELIZABETHTOWN,KY,06/23/2025,INV168145,I,061725STEPH,13.95,10,1.4,Lori Hunt
MEDICAL PARK PHARMACY,C435312,GAINESVILLE,GA,06/02/2025,INV137781,I,21825,805.6,10,80.57,Greg Campbell
MORRISTOWN PHARMACY,C559322,MORRISTOWN,TN,06/13/2025,INV166043,I,061225Lauren,77.9,10,7.79,Angelo Audia
PATIENT AIDS,C562238,WILDER,KY,06/23/2025,INV158749,I,137287,14.0,10,1.4,Angelo Audia
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,06/06/2025,INV164194,I,TK06042025,120.7,10,12.1,Greg Campbell
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,06/11/2025,INV165369,I,TK06042025,18.9,10,1.9,Greg Campbell
BUCKEYE HOME MEDICAL,C623750,OAK RIDGE,TN,06/09/2025,INV157707,I,04292512,38.0,10,3.8,Greg Campbell
TUXEDO PHARMACY & GIFTS,C667280,ATLANTA,GA,06/30/2025,INV170363,I,reorder,45.75,10,4.58,Greg Campbell
SNELL PHARMACY,C689078,SNELLVILLE,GA,06/20/2025,INV167854,I,,51.0,10,5.1,Greg Campbell
WYNN'S PHARMACY,C727844,GRIFFIN,GA,06/24/2025,INV168599,I,,78.9,10,7.89,Greg Campbell
MAC'S MEDICINE MART,C357627,KINGSPORT,TN,07/21/2025,INV169102,I,6192025Martha,694.4,10,69.54,Angelo Audia
MAC'S MEDICINE MART,C357627,KINGSPORT,TN,07/21/2025,INV170114,I,6192025Martha,23.0,10,2.3,Angelo Audia
JEFF'S PRESCRIPTION SHOP,C416124,ELIZABETHTOWN,KY,07/01/2025,INV170478,I,061725STEPH,16.45,10,1.65,Lori Hunt
JEFF'S PRESCRIPTION SHOP,C416124,ELIZABETHTOWN,KY,07/15/2025,INV174230,I,070325AMANDA,56.5,10,5.65,Lori Hunt
HOSKINS DRUG STORE,C444655,CLINTON,TN,07/15/2025,INV174064,I,07112025,212.75,10,21.28,Angelo Audia
HOSKINS DRUG STORE,C444655,CLINTON,TN,07/22/2025,INV175468,I,07112025,42.0,10,4.2,Angelo Audia
HOSKINS DRUG STORE,C444655,CLINTON,TN,07/24/2025,INV176232,I,07112025,9.5,10,0.95,Angelo Audia
ALLENHILL PHARMACY,C483173,FRANKLIN,TN,07/15/2025,INV168648,I,0781,21.45,10,2.15,Angelo Audia
MORRISTOWN PHARMACY,C559322,MORRISTOWN,TN,07/03/2025,INV171101,I,061225Lauren,43.5,10,4.35,Angelo Audia
MORRISTOWN PHARMACY,C559322,MORRISTOWN,TN,07/09/2025,INV172712,I,7/8/25phone,126.9,10,12.69,Angelo Audia
MORRISTOWN PHARMACY,C559322,MORRISTOWN,TN,07/16/2025,INV174479,I,071525 LAUREN,51.8,10,5.18,Angelo Audia
MORRISTOWN PHARMACY,C559322,MORRISTOWN,TN,07/23/2025,INV176089,I,072225PHONE,394.5,10,39.45,Angelo Audia
PATIENT AIDS,C562238,WILDER,KY,07/21/2025,INV167814,I,139482,173.2,10,17.32,Angelo Audia
PATIENT AIDS,C562238,WILDER,KY,07/21/2025,INV170127,I,139482,17.8,10,1.78,Angelo Audia
BOATWRIGHT DRUGS,C597572,MILLINGTON,TN,07/03/2025,INV170132,I,07252025 FAX,162.45,10,16.26,Angelo Audia
WYNN'S PHARMACY,C727844,GRIFFIN,GA,07/18/2025,INV174845,I,,34.0,10,3.4,Greg Campbell
WYNN'S PHARMACY,C727844,GRIFFIN,GA,07/23/2025,INV176101,I,,11.0,10,1.1,Greg Campbell
WYNN'S PHARMACY,C727844,GRIFFIN,GA,07/30/2025,INV177610,I,,11.0,10,1.1,Greg Campbell
LITTLE FIVE POINTS PHARMACY,C810283,ATLANTA,GA,07/23/2025,INV176102,I,072225IRA,47.3,10,4.73,Greg Campbell
MD SERVICES TN,C828839,Paris,TN,07/29/2025,INV174387,I,7/14/25Angela,57.6,10,5.76,Lori Hunt
WILLIAMS BROS. HEALTH CARE PHARMACY,C833356,Washington,IN,07/08/2025,INV166771,I,78621,290.9,10,29.11,Angelo Audia
MEDICINE SHOPPE #1783,C834531,Smyrna,GA,07/16/2025,INV145687,I,030525 SONJI,106.05,10,10.61,Greg Campbell
MEDICINE SHOPPE #1783,C834531,Smyrna,GA,07/16/2025,INV146482,I,030525 SONJI,11.95,10,1.2,Greg Campbell
APOTHECARY SHOPPE PHARMACY,C324695,DOUGLASVILLE,GA,08/25/2025,INV178060,I,072825 MIRA,114.0,10,11.4,Greg Campbell
APOTHECARY SHOPPE PHARMACY,C324695,DOUGLASVILLE,GA,08/28/2025,INV180333,I,072825 MIRA,18.0,10,1.8,Greg Campbell
MAC'S MEDICINE MART,C357627,KINGSPORT,TN,08/19/2025,INV175500,I,6192025Martha,39.0,10,3.9,Angelo Audia
MEDICAL PARK PHARMACY,C435312,GAINESVILLE,GA,08/26/2025,DBM004392,I,INV139686,180.55,10,18.06,Greg Campbell
MEDICAL PARK PHARMACY,C435312,GAINESVILLE,GA,08/21/2025,INV139686,I,21825,180.55,10,18.06,Greg Campbell
MEDICAL PARK PHARMACY,C435312,GAINESVILLE,GA,08/22/2025,INV183797,I,8/18/25fax,237.25,10,23.73,Greg Campbell
HOSKINS DRUG STORE,C444655,CLINTON,TN,08/01/2025,INV177984,I,07112025,41.0,10,4.1,Angelo Audia
CAPITAL PHARMACY & MEDICAL EQUIP,C537305,FRANKFORT,KY,08/11/2025,DBM004312,I,INV136554,18.4,10,1.84,Angelo Audia
MORRISTOWN PHARMACY,C559322,MORRISTOWN,TN,08/11/2025,INV180349,I,072225PHONE,67.0,10,6.7,Angelo Audia
ACCESS LAFAYETTE,C562238,Lafayette,LA,08/18/2025,INV173133,I,140744,35.85,10,3.59,Angelo Audia
ACCESS LAFAYETTE,C562238,Lafayette,LA,07/10/2025,INV173133,C,WOFF,-2.5,10,-0.25,Angelo Audia
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,08/04/2025,INV178503,I,TK07292025,147.25,10,14.74,Greg Campbell
BOATWRIGHT DRUGS,C597572,MILLINGTON,TN,08/25/2025,INV172784,I,07252025 FAX,23.8,10,2.38,Angelo Audia
BUCKEYE HOME MEDICAL,C623750,JAMESTOWN,TN,08/11/2025,INV153953,I,04232506,1615.35,10,161.54,Greg Campbell
AFFORDABLE PHARMACY SERVICES,C695864,NASHVILLE,TN,08/01/2025,INV178076,I,,33.0,10,3.3,Angelo Audia
SEYMOUR ADVALUE PHARMACY,C704243,SEYMOUR,TN,08/11/2025,INV180371,I,8/1/25fax,610.9,10,61.14,Angelo Audia
SEYMOUR ADVALUE PHARMACY,C704243,SEYMOUR,TN,08/13/2025,INV181353,I,8/1/25fax,16.5,10,1.65,Angelo Audia
CARMICHAEL'S DRUG,C722549,MONROE,GA,08/05/2025,INV178847,I,073125FAX,328.0,10,32.82,Greg Campbell
CARMICHAEL'S DRUG,C722549,MONROE,GA,08/11/2025,INV180376,I,073125FAX,44.85,10,4.49,Greg Campbell
LITTLE FIVE POINTS PHARMACY,C810283,ATLANTA,GA,08/11/2025,INV180383,I,072225IRA,11.0,10,1.1,Greg Campbell
MD SERVICES TN,C828839,Paris,TN,08/22/2025,INV181475,I,8/8/25Angela,62.5,10,6.25,Lori Hunt
MAC'S MEDICINE MART,C357627,KINGSPORT,TN,09/09/2025,INV182593,I,8152025Sarah,226.65,10,22.69,Angelo Audia
ALLENHILL PHARMACY,C483173,FRANKLIN,TN,09/10/2025,INV183981,I,,16.35,10,1.64,Angelo Audia
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,09/25/2025,INV191701,I,TK09242025,339.95,10,34.02,Greg Campbell
BOATWRIGHT DRUGS,C597572,MILLINGTON,TN,09/19/2025,INV187924,I,090825lv,774.2,10,77.46,Angelo Audia
WYNN'S PHARMACY,C727844,GRIFFIN,GA,09/24/2025,INV191369,I,,31.8,10,3.18,Greg Campbell
WENDER & ROBERTS PHARMACY,C730952,ATLANTA,GA,09/18/2025,INV190137,I,09152025 KERRY,977.2,10,97.75,Greg Campbell
MAC'S MEDICINE MART,C357627,KINGSPORT,TN,10/20/2025,INV191657,I,09222025Sarah,558.6,10,55.89,Angelo Audia
PATIENT AIDS,C562238,WILDER,KY,10/02/2025,INV185049,I,143672,18.0,10,1.8,Angelo Audia
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,10/06/2025,INV193941,I,TK09242025,22.0,10,2.2,Greg Campbell
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,10/09/2025,INV194927,I,TK10082025,51.25,10,5.13,Greg Campbell
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,10/31/2025,INV198337,I,TK10302025,128.25,10,12.84,Greg Campbell
JOHNSON'S RIVER PLACE PHARM,C636428,BRASELTON,GA,10/28/2025,INV197637,I,Cheyenne,136.5,10,13.65,Greg Campbell
CARMICHAEL'S DRUG,C722549,MONROE,GA,10/06/2025,INV194035,I,100325,74.3,10,7.43,Greg Campbell
MD SERVICES TN,C828839,Paris,TN,10/09/2025,INV190768,I,9/19/25Angela,32.8,10,3.3,Lori Hunt
MD SERVICES TN,C828839,Paris,TN,10/09/2025,INV191943,I,9/25/25Angela,58.5,10,5.85,Lori Hunt
MD SERVICES TN,C828839,Paris,TN,10/09/2025,INV192604,I,9/25/25Angela,19.5,10,1.95,Lori Hunt
MD SERVICES TN,C828839,Paris,TN,10/09/2025,INV194495,I,10062025ANGELA,108.0,10,10.8,Lori Hunt
MD SERVICES TN,C828839,Paris,TN,10/30/2025,INV195652,I,10132025ANGELA,67.2,10,6.72,Lori Hunt
MD SERVICES TN,C828839,Paris,TN,10/30/2025,INV197767,I,10272025,40.0,10,4.0,Lori Hunt
JEFF'S PRESCRIPTION SHOP,C416124,ELIZABETHTOWN,KY,11/14/2025,INV200742,I,111325PHONE,332.95,10,33.31,Lori Hunt
MORRISTOWN PHARMACY,C559322,MORRISTOWN,TN,11/04/2025,INV198830,I,103025LAUREN,419.66,10,41.99,Angelo Audia
CARMICHAEL'S DRUG,C722549,MONROE,GA,11/19/2025,INV201329,I,111725,337.8,10,33.82,Greg Campbell
HOSKINS DRUG STORE,C444655,CLINTON,TN,12/08/2025,INV203684,I,12042025,138.5,10,13.85,Angelo Audia
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,12/08/2025,INV203687,I,TK12042025,78.1,10,7.83,Greg Campbell
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,12/11/2025,INV204603,I,TK12042025,4.95,10,0.5,Greg Campbell
TUXEDO PHARMACY & GIFTS,C667280,ATLANTA,GA,12/09/2025,INV204010,I,reorder,126.4,10,12.65,Greg Campbell
TUXEDO PHARMACY & GIFTS,C667280,ATLANTA,GA,12/12/2025,INV204696,I,reorder,9.9,10,0.99,Greg Campbell
TUXEDO PHARMACY & GIFTS,C667280,ATLANTA,GA,12/17/2025,INV205473,I,reorder,9.9,10,0.99,Greg Campbell
SNELL PHARMACY,C689078,SNELLVILLE,GA,12/02/2025,INV202151,I,,72.0,10,7.2,Greg Campbell
CARMICHAEL'S OF COVINGTON,C722549,MONROE,GA,12/08/2025,INV203792,I,111725,8.5,10,0.85,Greg Campbell
CARMICHAEL'S OF COVINGTON,C722549,MONROE,GA,12/10/2025,INV204405,I,112625,100.0,10,10.0,Greg Campbell
MD SERVICES TN,C828839,Paris,TN,12/19/2025,INV201539,I,ANGELAEMAIL111725,60.0,10,6.0,Lori Hunt
MD SERVICES TN,C828839,Paris,TN,12/19/2025,INV204941,I,12122025ANGELA,150.0,10,15.0,Lori Hunt
MAC'S MEDICINE MART,C357627,KINGSPORT,TN,01/05/2026,INV204631,I,1205,1057.35,10,105.79,Angelo Audia
CAPITAL PHARMACY & MEDICAL EQUIP,C537305,FRANKFORT,KY,01/07/2026,DBM005116,I,INV181215,8.36,10,0.84,Angelo Audia
CAPITAL PHARMACY & MEDICAL EQUIP,C537305,FRANKFORT,KY,01/07/2026,INV178521,I,07292025,85.95,10,8.62,Angelo Audia
MORRISTOWN PHARMACY,C559322,MORRISTOWN,TN,01/16/2026,INV209854,I,01152026,211.0,10,21.1,Angelo Audia
PATIENT AIDS,C562238,WILDER,KY,01/06/2026,INV201876,I,148723,118.05,10,11.82,Angelo Audia
EMORY DECATUR HOSPITAL,C649184,DECATUR,GA,01/22/2026,INV202027,I,11212025BS,300.3,10,30.04,Greg Campbell
CARMICHAEL'S DRUG,C722549,MONROE,GA,01/30/2026,INV212190,I,12826,364.85,10,36.52,Greg Campbell
WYNN'S PHARMACY,C727844,GRIFFIN,GA,01/20/2026,INV210546,I,,32.0,10,3.2,Greg Campbell
ATCHLEY DRUG CENTER,C805777,Greeneville,TN,01/20/2026,INV210553,I,011926TAMMY,175.7,10,17.57,Angelo Audia
MD SERVICES TN,C828839,Paris,TN,01/22/2026,INV208862,I,01092026ANGE,90.0,10,9.0,Lori Hunt
APOTHECARY SHOPPE PHARMACY,C324695,DOUGLASVILLE,GA,02/02/2026,INV209845,I,051525ALEX,389.55,10,39.0,Greg Campbell
ALLENHILL PHARMACY,C483173,FRANKLIN,TN,02/10/2026,INV211190,I,0932,62.0,10,6.2,Angelo Audia
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,02/18/2026,INV215926,I,TK02132026,224.25,10,22.46,Greg Campbell
ADVANCED HOME MEDICAL,C618704,HOPKINSVILLE,KY,02/27/2026,INV217663,I,022526FRANK,440.9,10,44.09,Angelo Audia
CYNTHIA TANNER,C664133,PEACHTREE CORNERS,GA,02/03/2026,INV213008,I,020226PHN,129.5,10,12.95,Greg Campbell
SNELL PHARMACY,C689078,SNELLVILLE,GA,02/18/2026,INV215956,I,,15.0,10,1.5,Greg Campbell
MD SERVICES TN,C828839,Paris,TN,02/27/2026,INV217063,I,02232026ANGEL,160.0,10,16.0,Angelo Audia
MAC'S MEDICINE MART,C357627,KINGSPORT,TN,03/19/2026,INV218163,I,2272026,398.4,10,39.87,
CARMICHAEL'S OF COVINGTON,C722549,COVINGTON,GA,03/04/2026,INV218915,I,03032026,343.3,10,34.36,
CARMICHAEL'S OF COVINGTON,C722549,COVINGTON,GA,03/05/2026,INV219285,I,,385.1,10,38.53,
LACEY DRUG CO.,C322729,ACWORTH,GA,04/02/2026,INV211386,I,012226JH,190.9,10,19.1,
ACCESS DURABLE MEDICAL EQUIPMENT,C589727,CHATTANOOGA,TN,04/21/2026,SCM008280,C,INV224441,-5.45,10,-0.55,
"ELECTRO MEDICAL EQUIPMENT, INC",C628862,MARIETTA,GA,04/21/2026,INV223658,I,0028903,320.5,10,32.05,
"ELECTRO MEDICAL EQUIPMENT, INC",C628862,MARIETTA,GA,04/30/2026,INV225909,I,0028965,155.0,10,15.5,
