code,price_from,price_1,price_2_5,price_6_10,price_11_20,price_21_plus,msrp_2x,current_problem
10107BLACK,10107,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10107BLUE,10107,49.95,44.95,37.95,31.95,27.95,99.90,"11-20 rung is $34.99, list says $31.95"
10107GREY,10107,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10107RED,10107,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10108BLACK,10108,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10108BLUE,10108,49.95,44.95,37.95,31.95,27.95,99.90,"11-20 rung is $34.99, list says $31.95"
10108GREY,10108,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
10108RED,10108,49.95,44.95,37.95,31.95,27.95,99.90,no quantity ladder at all
11002BLACK,11002,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11002BLUE,11002,49.95,36.50,34.50,29.95,24.95,99.90,"11-20 rung is $29.99, list says $29.95"
11002GREY,11002,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11002RED,11002,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11003BLACK,11003,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11003BLUE,11003,49.95,36.50,34.50,29.95,24.95,99.90,"11-20 rung is $29.99, list says $29.95"
11003GREY,11003,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11003RED,11003,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11005BLACK,11005,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11005BLUE,11005,49.95,36.50,34.50,29.95,24.95,99.90,"11-20 rung is $29.99, list says $29.95"
11005GREY,11005,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11005RED,11005,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11007BLACK,11007,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11007BLUE,11007,49.95,36.50,34.50,29.95,24.95,99.90,"11-20 rung is $29.99, list says $29.95"
11007GREY,11007,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11007RED,11007,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11008BLACK,11008,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11008BLUE,11008,49.95,36.50,34.50,29.95,24.95,99.90,"11-20 rung is $29.99, list says $29.95"
11008GREY,11008,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11008RED,11008,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11102BLACK,11102,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11102BLUE,11102,49.95,36.50,34.50,29.95,24.95,99.90,"11-20 rung is $29.99, list says $29.95"
11102GREY,11102,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11102RED,11102,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11103BLACK,11103,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11103BLUE,11103,49.95,36.50,34.50,29.95,24.95,99.90,"11-20 rung is $29.99, list says $29.95"
11103GREY,11103,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11103RED,11103,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11105BLACK,11105,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11105BLUE,11105,49.95,36.50,34.50,29.95,24.95,99.90,"11-20 rung is $29.99, list says $29.95"
11105GREY,11105,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11105RED,11105,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11107BLACK,11107,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11107BLUE,11107,49.95,36.50,34.50,29.95,24.95,99.90,"11-20 rung is $29.99, list says $29.95"
11107GREY,11107,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11107RED,11107,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11108BLACK,11108,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11108BLUE,11108,49.95,36.50,34.50,29.95,24.95,99.90,"11-20 rung is $29.99, list says $29.95"
11108GREY,11108,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
11108RED,11108,49.95,36.50,34.50,29.95,24.95,99.90,no quantity ladder at all
